77.5	78	75.04148183	76.5656384	69	72	66.5629994	69.57515277
75.5	76.5	74.01027192	75.80348932	65	67	64.44630856	66.97918019
63	63	67.38525909	68.61671487	53.5	53.5	58.79239539	60.32210576
67.5	69.5	69.93769856	72.1350542	61.5	62	62.68338443	64.17565183
66.5	66.5	69.4124534	70.70448535	57.5	58	60.74298751	62.51628295
75	78	73.2424666	76.04340174	67.5	69.5	65.88952898	68.44217372
72	74.5	72.25332902	74.7776302	64	65	64.02843193	65.86288385
70.5	73.5	70.77813082	73.5019476	61.5	65	62.90596168	66.31471346
74.5	75	73.42038893	74.91042884	63.5	64.5	64.04829031	66.1633608
66	70	69.22492523	72.53364772	56	61	59.85265198	63.85015362
73	76.5	72.58996692	75.59443966	67	70.5	65.53216449	68.82888326
74	78	73.20729721	76.47475516	64.5	70.5	64.14464648	68.61177788
76.5	79.5	73.95166101	76.65928931	68.5	70.5	66.34624741	68.84769586
71	74	71.72370319	74.49737019	61.5	63	62.68291728	64.95484752
77	76.5	74.49337819	75.4795831	67.5	68.5	65.89364525	67.91268003
72	73	71.79919854	73.5218038	62.5	63.5	63.11591187	65.03268925
76	77.5	74.34123975	76.40854392	67.5	68	65.60450068	67.34591736
71	73	71.53817682	73.8020883	65	67	64.51066608	67.08343024
64.5	66.5	68.60939022	70.97003449	56	60	59.84247232	63.21726607
67.5	74	70.14956584	74.6653141	58.5	62.5	61.23518719	64.68806986
76.5	78	74.51861029	76.55723756	67	69.5	65.32732799	68.0108023
74	77	73.26547304	75.97776294	64.5	66	64.35311414	66.582158
73	76	72.81076019	75.62656625	66	70.5	65.11855933	68.94488836
73.5	77	73.09266882	76.09755495	65	65.5	64.29233568	65.72546003
71.5	72	71.50737923	72.96283547	64.5	65.5	64.2910112	66.33572222
77	77	74.62953834	75.88457939	64	66	63.71260593	65.77943863
71.5	72.5	72.07756288	73.78467435	63.5	64	63.83805804	65.48869621
73.5	79	72.86933144	76.88135014	62	64	62.87626849	65.13446064
68	68	70.31110685	71.54512309	57.5	61	60.7294038	63.99861007
63	64.5	67.50816967	69.45077488	56.5	58	60.31898804	62.55477619
66.5	69.5	69.13110145	71.85727414	59.5	60	61.60685206	63.14303006
78.5	79	75.56955914	77.13207498	NA	NA	NA	NA
76.5	79	74.11124634	76.58139808	71	74	67.59664636	70.51204918
87.5	93.5	79.8515118	84.15011032	82	92	72.88140824	79.30991435
59.5	61	65.9898876	68.02462318	50.5	51.5	57.22112376	59.16692869
70.5	72	71.63954249	73.7121141	63	63	63.49602297	65.01784558
73	73	72.67225338	73.91150259	63	66	63.35344675	66.40226178
77.5	80	75.06585747	77.54663428	66	70.5	65.02548463	68.78941617
70	71.5	71.07851484	73.0320182	61.5	63	62.51331145	64.61212025
61	63	66.89973818	69.14551823	53	55	58.37946585	60.60588178
57	57.5	64.82608218	66.42134851	48.5	49	56.23488756	57.8087224
78	84.5	74.64242513	79.12450139	72	82	68.18475592	74.82170238
78.5	84	75.69659148	79.67036029	75	81	69.61709057	74.22873119
70	74.5	71.37657737	74.96741109	61.5	64	62.63340923	65.32834223
72	79	72.28962512	77.07779151	64.5	71	64.14822067	68.82900842
74	75	73.26989446	74.94372351	63.5	65.5	63.50054803	65.97320819
76.5	83.5	74.55137046	79.34557499	65.5	71	64.55270405	68.60302285
75.5	77.5	73.60565286	75.83173633	67	67.5	65.4809917	67.28580851
76	77.5	73.77425193	75.74083787	68.5	74	66.33312991	70.62472454
77	87.5	74.68091415	81.22595255	70.5	84.5	67.27035668	75.82390833
